"geoid","msa","name","pop","pop_child","pop_inst","house","house_fam","house_fam_child","house_child","house_senior","house_size","house_fam_size","units","units_occ","units_vac","units_vac_rent","units_sale","units_sold","units_vac_vacation","units_vac_other","units_occ_own","units_occ_own_pop","units_occ_own_size","units_occ_rent","units_occ_rent_pop","units_occ_rent_size"
"310M100US24220",24220,"Grand Forks, ND-MN  Metro Area",98461,24621,1088,40121,23411,10483,11080,8425,2.32,2.93,43954,40121,3833,1068,361,87,1168,1096,23583,59927,2.54,16538,32988,1.99
"310M100US24260",24260,"Grand Island, NE  Micro Area",72726,21390,983,27972,18692,8712,9499,7217,2.55,3.11,30198,27972,2226,647,326,105,352,751,18687,49809,2.67,9285,21567,2.32
"310M100US24300",24300,"Grand Junction, CO  Metro Area",146723,39013,1422,58095,38593,16285,18113,15557,2.46,2.97,62644,58095,4549,1330,949,143,944,1109,41506,103375,2.49,16589,39717,2.39
"310M100US24340",24340,"Grand Rapids-Wyoming, MI  Metro Area",774160,237273,10901,290340,197867,92569,100729,64044,2.6,3.13,323764,290340,33424,9417,5067,1231,9780,7506,209571,567257,2.71,80769,188866,2.34
"310M100US24380",24380,"Grants, NM  Micro Area",27213,7649,2428,8860,6274,2578,3370,2610,2.79,3.3,11101,8860,2241,404,88,45,880,805,6575,18337,2.79,2285,6345,2.78
"310M100US24420",24420,"Grants Pass, OR  Micro Area",82713,19460,675,34646,22498,7645,8822,13080,2.34,2.82,38001,34646,3355,846,579,133,669,1083,23112,53808,2.33,11534,27304,2.37
"310M100US24460",24460,"Great Bend, KS  Micro Area",27674,7617,344,11283,7350,3180,3434,3228,2.39,2.96,12696,11283,1413,369,135,58,97,734,7971,19662,2.47,3312,7340,2.22
"310M100US24500",24500,"Great Falls, MT  Metro Area",81327,21197,1041,33809,21403,9209,10063,9048,2.33,2.9,37276,33809,3467,756,364,85,1149,1077,22290,53959,2.42,11519,24806,2.15
"310M100US24540",24540,"Greeley, CO  Metro Area",252825,77950,2617,89349,63933,31641,34838,17353,2.76,3.24,96281,89349,6932,2364,1758,300,471,1926,62130,173557,2.79,27219,73373,2.7
"310M100US24580",24580,"Green Bay, WI  Metro Area",306241,87547,3426,122037,80193,37055,39489,26750,2.45,3,137212,122037,15175,3060,1693,261,8133,1876,84004,217933,2.59,38033,81220,2.14
"310M100US24620",24620,"Greeneville, TN  Micro Area",68831,17250,903,28018,19222,7085,8331,8640,2.39,2.87,32025,28018,4007,855,487,188,413,2029,20836,50134,2.41,7182,16945,2.36
"310M100US24660",24660,"Greensboro-High Point, NC  Metro Area",723801,201076,5349,290694,188762,83937,93726,69304,2.43,2.99,322754,290694,32060,13880,5228,1015,1527,9943,186999,466212,2.49,103695,239744,2.31
"310M100US24700",24700,"Greensburg, IN  Micro Area",25740,7558,288,9977,6995,3019,3373,2558,2.54,3.02,11209,9977,1232,357,198,26,265,365,7031,18136,2.58,2946,7227,2.45
"310M100US24740",24740,"Greenville, MS  Micro Area",51137,16339,475,18936,13134,5476,7132,4855,2.67,3.23,21708,18936,2772,1397,243,157,140,797,10844,28015,2.58,8092,22574,2.79
"310M100US24780",24780,"Greenville, NC  Metro Area",189510,49373,3612,74890,44808,20665,23439,14159,2.41,3.02,83203,74890,8313,4238,1166,242,415,2127,41985,105996,2.52,32905,74668,2.27
"310M100US24820",24820,"Greenville, OH  Micro Area",52959,15591,528,20929,14673,6064,6680,6111,2.5,3,22730,20929,1801,453,323,111,139,749,15643,40016,2.56,5286,12337,2.33
"310M100US24860",24860,"Greenville-Mauldin-Easley, SC  Metro Area",636986,175637,5793,247284,166609,72200,81476,60265,2.49,3.01,277415,247284,30131,9870,4885,1241,4723,8955,168575,428109,2.54,78709,187568,2.38
"310M100US24900",24900,"Greenwood, MS  Micro Area",42914,12807,1657,15765,10634,4506,5629,4135,2.56,3.15,18251,15765,2486,982,153,82,489,731,9578,24270,2.53,6187,16031,2.59
